Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Payment,cogs,gross margin percentage,gross income,Rating
851-28-6367,Alex,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,Ewallet,155,4.761904762,7.75,8
824-88-3614,Giza,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,1/25/2019,Ewallet,274.48,4.761904762,13.724,5.7
586-25-0848,Alex,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,03-04-2019,Credit card,86.38,4.761904762,4.319,6.7
895-66-0685,Cairo,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,03-05-2019,Ewallet,54.24,4.761904762,2.712,8
305-14-0245,Cairo,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,03-03-2019,Ewallet,755.92,4.761904762,37.796,7.5
732-04-5373,Cairo,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,02-08-2019,Cash,185.88,4.761904762,9.294,7
400-60-7251,Alex,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,02-10-2019,Ewallet,74.07,4.761904762,3.7035,9.9
593-65-1552,Giza,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,Credit card,279.24,4.761904762,13.962,5.9
284-34-9626,Cairo,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,02-11-2019,Credit card,231.12,4.761904762,11.556,7.2
437-58-8131,Cairo,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,Ewallet,147.04,4.761904762,7.352,4.6
286-43-6208,Giza,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,Cash,790.2,4.761904762,39.51,9.2
641-43-2399,Cairo,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,Ewallet,102.2,4.761904762,5.11,5.7
831-07-6050,Alex,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,Credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,Giza,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,Cash,74.29,4.761904762,3.7145,5
848-24-9445,Giza,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,3/26/2019,Cash,87.4,4.761904762,4.37,4.9
856-22-8149,Alex,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/2019,Ewallet,25.29,4.761904762,1.2645,6.1
699-01-4164,Giza,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,03-12-2019,Credit card,166,4.761904762,8.3,8.2
